Unnamed: 0,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,iron,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water,meal_time,calcium_magnesium_ratio,vitamin_c_e_ratio,saturated_unsaturated_fatty_acids_ratio,total_essential_amino_acids,total_carbohydrates,antioxidant_capacity,energy_density
0,Cornstarch,100,381,1,0,0.0,0.9,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.05,0.047,0.3,0.053,1.3,0.3,2.8e-05,0.006,26,19,12,20,6,53,9,8,0,10,36,6,6,13,24,12,9,1,10,14,9127,9,0,0,0,0,0,0,0,5,9,16,25,0.0,0,9,0.0,0.0,832,Supper,0.6666666666666667,0.0,0,95,9136,2.8e-05,3
1,"Nuts, pecans",100,691,72,62,0.0,0.0,0.405,0.0022,0.0,1.167,0.863,0.13,0.66,0.14,0.0003,0.0,0.0029,0.0009,0.0017,0,0.0,0.21,0.011,0.0,0.14,0.14,3.5e-05,7.0,1.2,0.253,12.1,4.5,27.7,41.0,3.8e-05,0.453,917,397,1177,929,152,1829,453,262,0,336,598,287,183,426,363,474,306,93,215,411,1386,96,397,4,0,4,0,0,390,7197,6180,40801,21614,0.0,0,149,0.0,0.0,352,Supper,0.578512396694215,0.07857142857142856,0,2640,1879,0.291038,6
2,"Eggplant, raw",100,25,2,0,0.0,0.2,0.069,0.0022,0.0,0.649,0.281,0.037,0.039,0.0575,0.0001,0.0,0.0014,0.0,0.0036,0,0.0,0.084,0.022,0.0,0.03,0.03,3.5e-05,0.9,0.081,0.023,1.4,0.232,2.4,22.9,3e-06,0.016,98,51,57,164,6,186,41,23,0,45,64,47,11,43,43,42,37,9,27,53,588,30,353,154,0,158,0,0,26,18,34,16,76,0.0,0,66,0.0,0.0,9230,Breakfast,0.6428571428571429,0.7333333333333333,0,309,971,0.109503,0
3,"Teff, uncooked",100,367,24,4,0.0,1.2,0.131,0.0,0.0,3.363,0.942,0.27,0.39,0.0225,0.0,0.0,0.0005,0.0,0.0066,0,0.0,0.482,0.0,0.0,0.008,0.008,1.9e-05,18.0,0.81,0.763,18.4,9.24,42.9,42.7,4.4e-05,0.363,1330,747,517,820,236,3349,477,301,0,501,1068,376,428,698,664,622,510,139,458,686,7313,80,184,47,0,73,0,1,62,238,449,589,1071,0.0,0,237,0.0,0.0,882,Supper,0.9782608695652175,0.0,0,4406,7577,0.030543999999999998,3
4,"Sherbet, orange",100,144,2,12,0.001,4.6,0.077,0.0004,0.0,0.063,0.224,0.097,0.027,0.115,0.0012,0.0,0.0001,0.0005,0.0007,0,1.3e-05,0.023,0.023,0.0,0.001,0.001,0.0,5.4,0.028,0.014,0.8,0.011,4.0,9.6,1.5e-05,0.048,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3040,13,2432,0,0,0,0,0,0,200,1160,530,80,0.1,0,40,0.0,0.0,6610,Lunch,6.75,23.0,1,0,5485,0.139015,1
5,"Cauliflower, raw",100,25,3,1,0.0,3.0,0.443,0.0057,0.0,0.507,0.667,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0001,0,0.0,0.184,0.482,0.0,0.008,0.008,0.000155,2.2,0.039,0.042,1.5,0.155,4.4,29.9,6e-06,0.027,192,116,86,177,20,257,71,56,0,71,106,217,20,65,71,86,76,20,51,125,497,20,191,97,0,94,0,0,0,28,130,34,31,0.0,0,76,0.0,0.0,9207,Breakfast,1.4666666666666668,60.25,2,700,708,0.490006,0
6,"Taro leaves, raw",100,42,7,2,0.0,0.3,0.128,0.0126,0.0,1.513,0.084,0.456,0.209,12.0625,0.0241,0.0,0.2895,0.0,0.1932,0,0.0,0.146,0.52,0.0,0.202,0.202,0.001086,10.7,0.27,0.225,4.5,0.714,6.0,64.8,9e-06,0.041,498,0,220,0,64,0,0,114,0,260,392,246,79,195,0,0,167,48,178,256,670,37,301,0,0,0,0,0,0,74,151,60,307,0.0,0,192,0.0,0.0,8566,Breakfast,2.3777777777777778,2.5742574257425743,0,1643,1008,12.784509,0
7,"Lamb, raw, ground",100,282,23,10,0.073,5.9,0.693,0.0018,0.0,5.96,0.65,0.21,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0,0.000231,0.13,0.0,0.005,0.02,0.02,3.6e-05,1.6,0.101,0.155,2.1,0.019,15.7,22.2,0.000188,0.341,1656,996,984,1457,198,2402,809,524,0,799,1288,1462,425,674,694,615,709,193,556,893,0,0,0,0,0,0,0,0,0,2341,10190,9600,1850,7.3,0,87,0.0,0.0,5947,Supper,0.7619047619047619,0.0,0,6443,0,0.020188,2
8,"Cheese, camembert",100,300,24,15,0.072,84.2,0.154,0.0062,0.0,0.63,1.364,0.488,0.028,2.05,0.0241,0.0,0.0012,0.0,0.0,0,0.00013,0.227,0.0,0.045,0.021,0.021,2e-05,38.8,0.021,0.033,2.0,0.038,34.7,18.7,0.000145,0.238,1980,819,701,1288,109,4187,379,683,0,968,1840,1766,565,1105,2346,1114,717,307,1145,1279,46,0,46,0,0,0,0,0,0,2426,15259,7023,724,7.2,0,368,0.0,0.0,5180,Supper,19.4,0.0,1,8547,92,2.0711449999999996,3
9,Vegetarian fillets,100,290,18,28,0.0,49.0,0.82,0.0102,0.0,12.0,0.0,0.9,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00042,1.5,0.0,0.0,0.345,0.345,0.0,9.5,0.925,0.2,2.3,0.0,45.0,60.0,1e-05,0.14,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,61,80,0,0,0,0,0,0,1800,2849,4376,9332,0.0,0,500,0.0,0.0,4500,Supper,4.130434782608696,0.0,0,0,1041,0.34501,2
10,"PACE, Picante Sauce",100,25,0,0,0.0,78.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7825,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625,31,625,0,0,0,0,0,0,0,0,0,0,0.0,0,385,0.0,0.0,8990,Breakfast,0.0,0.0,0,0,1281,0.7825,0
11,"Goji berries, dried",100,349,4,0,0.0,29.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.055,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.484,0.0,0.0,0.0,0.0,19.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,1426,698,722,1711,144,1431,304,157,0,261,456,233,87,271,1000,498,358,0,222,316,7706,130,4561,0,0,0,0,0,0,39,0,0,0,0.0,0,78,0.0,0.0,750,Supper,0.0,0.0,0,1982,12397,67.539,3
12,"Mango nectar, canned",100,51,1,0,0.0,0.5,0.015,0.0007,0.0,0.08,0.07,0.003,0.003,1.73,0.0035,0.0,0.0402,0.0026,0.0,0,0.0,0.015,0.152,0.0,0.021,0.021,8e-06,1.7,0.015,0.036,0.3,0.028,0.2,2.4,4e-06,0.002,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312,3,1245,556,0,531,0,56,102,6,14,22,11,0.0,0,8,0.0,0.0,8663,Breakfast,5.666666666666667,7.238095238095237,0,0,2560,1.9030039999999997,0
13,"Crackers, rusk toast",100,407,72,14,0.078,25.3,0.0,0.0087,0.0023,4.625,0.605,0.399,0.404,0.1025,0.0012,0.0,0.0,0.0,0.0,0,1.8e-05,0.047,0.0,0.0,0.0,0.0,0.0,2.7,0.245,0.272,3.6,0.439,15.3,24.5,0.000201,0.11,1350,606,649,944,272,3192,498,309,0,610,1010,684,290,668,1052,768,512,171,471,684,7230,0,0,0,0,0,0,0,0,720,1376,2755,2310,7.8,0,120,0.0,0.0,550,Supper,0.75,0.0,0,4629,7230,0.102701,4
14,"Chicken, boiled, feet",100,215,15,39,0.084,6.7,0.133,0.0086,0.0,0.4,0.0,0.2,0.06,0.25,0.003,0.0,0.0,0.0,0.0,0,4.7e-05,0.01,0.0,0.02,0.027,0.027,2e-06,8.8,0.102,0.091,0.5,0.0,8.3,3.1,3.6e-05,0.069,1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1460,3920,5500,2980,8.4,0,0,0.0,0.0,6580,Lunch,17.6,0.0,0,0,20,0.277036,2
15,"Quail, raw, meat only",100,134,45,13,0.07,5.1,0.0,0.0007,0.0,8.2,0.787,0.285,0.283,0.1425,0.0017,0.0,0.0,0.0,0.0,0,4.7e-05,0.53,0.072,0.0,0.0,0.0,0.0,1.3,0.594,0.451,2.5,0.019,30.7,23.7,0.000174,0.27,2176,1341,1379,1814,380,2820,1442,825,0,1187,1866,1905,689,944,797,1062,1090,341,1010,1180,0,0,0,0,0,0,0,0,0,453,1320,1280,1170,7.0,0,132,0.0,0.0,7003,Lunch,0.52,0.0,0,9202,0,0.21467399999999998,1
16,"Pie, lemon, fried pies",100,316,16,25,0.0,37.4,0.0,0.0018,0.0015,1.425,0.11,0.106,0.141,0.08,0.0002,0.0,0.0,0.0,0.0,0,8e-06,0.03,0.0,0.0,0.0,0.0,0.0,2.2,0.047,0.122,1.0,0.224,4.3,6.5,2.4e-05,0.023,300,93,112,156,59,906,98,62,0,120,211,121,52,138,314,154,89,42,90,138,4260,26,0,0,0,0,0,0,0,1610,2457,7449,5376,0.0,0,110,0.0,0.0,3760,Supper,2.2,0.0,0,911,4286,0.080024,3
17,"Peppers, raw, jalapeno",100,29,4,1,0.0,0.3,0.075,0.0027,0.0,1.28,0.315,0.07,0.04,2.695,0.0054,0.0067,0.0561,0.0105,0.0861,0,0.0,0.419,1.186,0.0,0.358,0.358,0.000185,1.2,0.046,0.025,1.5,0.097,2.6,24.8,4e-06,0.014,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,28,412,263,0,148,0,0,0,37,92,29,112,0.0,0,53,0.0,0.0,9169,Breakfast,0.7999999999999999,3.3128491620111733,0,0,1090,4.2390039999999996,0
18,"Winged bean tuber, raw",100,148,9,2,0.0,3.5,0.0,0.0019,0.0,1.64,0.116,0.149,0.379,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,3.0,1.386,0.2,2.4,0.532,4.5,58.6,7e-06,0.139,1160,397,412,1735,197,800,390,241,0,425,640,592,143,451,679,464,451,252,353,599,2810,0,0,0,0,0,0,0,0,90,222,234,174,0.0,0,200,0.0,0.0,5740,Lunch,1.25,0.0,0,3553,2810,7e-06,1
19,"Salami, turkey, cooked",100,172,92,28,0.076,110.7,0.531,0.001,0.0,3.979,1.074,0.303,0.426,0.015,0.0002,0.0,0.0,0.0,0.0,0,9.9e-05,0.427,0.0,0.06,0.024,0.024,1.3e-05,4.0,0.19,0.125,2.2,0.02,26.6,21.6,0.000264,0.232,1920,947,1067,1486,159,2497,759,477,0,796,1219,1442,443,607,637,681,681,174,605,813,155,1,112,0,0,0,0,0,0,921,2783,3172,2466,7.6,0,168,0.0,0.0,6880,Lunch,1.8181818181818181,0.0,0,6175,268,0.039264,1
20,"Grapes, raw, muscadine",100,57,5,0,0.0,0.1,0.0,0.0002,0.0,0.0,0.0,1.5,0.0,0.1675,0.0003,0.0001,0.0039,0.0001,0.0064,0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,3.7,0.119,0.026,1.4,1.973,2.4,20.3,0.0,0.011,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393,39,0,392,0,367,0,0,57,47,0,0,0,0.0,0,50,0.0,0.0,8429,Breakfast,2.6428571428571432,0.0,0,0,1432,0.2325,0
21,"Nuts, raw, ginkgo nuts",100,182,17,3,0.0,0.7,0.0,0.0054,0.0,6.0,0.16,0.09,0.22,1.395,0.0028,0.0,0.0,0.0,0.0,0,0.0,0.328,0.15,0.0,0.0,0.0,0.0,0.2,0.274,0.1,2.7,0.113,12.4,51.0,0.0,0.034,432,247,420,543,23,836,232,102,0,209,316,206,55,171,347,290,268,71,61,283,3760,0,0,0,0,0,0,0,0,168,319,619,618,0.0,0,120,0.0,0.0,5520,Lunch,0.07407407407407407,0.0,0,1579,3760,1.545,1
22,"Spices, ground, savory",100,272,59,33,0.0,2.4,0.0,0.0,0.0,4.08,0.0,0.0,0.366,12.825,0.0257,0.0,0.0,0.0,0.0,0,0.0,1.81,0.5,0.0,0.0,0.0,0.0,213.2,0.847,3.788,37.7,6.1,14.0,105.1,4.6e-05,0.43,673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6873,457,0,0,0,0,0,0,0,591,3260,0,0,0.0,0,963,0.0,0.0,900,Supper,5.655172413793102,0.0,0,0,7330,13.325045999999999,2
23,"Candies, sesame crunch",100,516,33,47,0.0,16.7,0.167,0.0051,0.0,3.703,0.033,0.159,0.444,0.015,0.0,0.0,0.0003,0.0,0.0,0,0.0,0.491,0.0,0.0,0.016,0.016,0.0,63.9,0.95,0.427,25.1,1.609,41.2,30.7,4e-05,0.376,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5030,77,3117,0,0,0,0,0,0,3330,4662,12571,14591,0.0,0,260,0.0,0.0,220,Supper,2.545816733067729,0.0,0,0,8224,0.031039999999999998,5
24,"Cheese, low fat, cream",100,201,15,91,0.054,35.9,0.121,0.0019,0.0,0.125,0.845,0.185,0.04,1.38,0.0161,0.0,0.0011,0.0,0.0,0,9.2e-05,0.045,0.0,0.0275,0.027,0.027,1.1e-05,14.8,0.032,0.017,0.8,0.011,15.2,24.7,4e-05,0.057,785,243,311,680,55,1725,187,232,0,429,869,750,252,384,880,495,308,91,401,522,813,0,582,0,0,0,582,0,0,1528,9098,3996,658,5.4,0,203,0.0,0.0,6672,Lunch,18.5,0.0,1,3605,1395,1.4070399999999998,2
25,"PACE, Green Taco Sauce",100,25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625,0,625,0,0,0,0,0,0,0,0,0,0,0.0,0,305,0.0,0.0,9070,Breakfast,0.0,0.0,0,0,1250,0.0,0
26,"Syrup, Canadian, maple",100,270,0,0,0.0,0.9,0.0,0.0,0.0,0.081,0.0,1.27,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,0.0,0.011,2.1,2.3,0.0,22.5,0.0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6738,0,5992,34,0,65,0,0,5893,0,0,0,0,0.0,0,47,0.0,0.0,3215,Supper,5.190476190476191,0.0,0,0,12730,0.0,2
27,"Ostrich, raw, top loin",100,119,3,12,0.075,8.1,0.0,0.0008,0.0,4.691,1.158,0.286,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0,0.000494,0.509,0.0,0.0,0.02,0.02,0.0,0.6,0.137,0.313,2.2,0.018,21.4,31.2,0.000354,0.376,2167,1390,1482,2027,223,3322,1448,544,387,1030,1761,1914,606,894,1130,867,951,193,705,1070,0,0,0,0,0,0,0,0,0,295,1200,1060,580,7.5,0,73,0.0,0.0,7535,Breakfast,0.2727272727272727,0.0,0,8419,0,0.020354,1
28,"Chewing gum, sugarless",100,268,4,1,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-06,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9480,24,0,0,0,0,0,0,0,40,58,93,232,0.0,0,130,0.0,0.0,350,Supper,0.0,0.0,0,0,9504,5e-06,2
29,"Nuts, dried, pine nuts",100,673,68,49,0.0,0.2,0.558,0.0034,0.0,4.387,0.313,0.227,0.364,0.0725,0.0001,0.0,0.0017,0.0,0.0009,0,0.0,0.094,0.008,0.0,0.933,0.933,0.000539,1.6,1.324,0.553,25.1,8.802,57.5,59.7,7e-06,0.645,1369,684,2413,1303,289,2926,691,341,0,542,991,540,259,524,673,835,370,107,509,687,1308,37,359,7,0,7,0,0,345,6837,4899,18764,34071,0.0,0,259,0.0,0.0,228,Supper,0.06374501992031872,0.00857449088960343,0,4020,1704,1.0135070000000002,6
30,"Pasta, unenriched, dry",100,371,15,3,0.0,0.6,0.0,0.0018,0.0,1.7,0.431,0.06,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.142,0.0,0.0,0.011,0.011,1e-06,2.1,0.289,0.13,5.3,0.917,18.9,22.3,0.000632,0.141,1304,438,474,624,255,4596,441,298,0,511,988,298,147,668,1569,617,462,185,243,588,7467,32,267,11,0,12,0,196,48,151,277,171,564,0.0,0,88,0.0,0.0,990,Supper,0.39622641509433965,0.0,0,3847,7766,0.011632,3
31,"McDONALD'S, Side Salad",100,20,2,0,0.0,1.2,0.0,0.0057,0.0,0.208,0.0,0.038,0.045,7.125,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.157,0.0,0.0,0.0,0.0,2.4,0.0,0.065,0.0,0.0,0.0,22.0,0.0,0.0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,16,224,115,0,92,0,0,17,19,20,6,79,0.0,0,54,0.0,0.0,9393,Breakfast,0.0,0.0,0,0,670,7.282,0
32,"Cookies, Marie biscuit",100,406,11,53,0.0,37.0,0.27,0.0118,0.0098,3.861,0.0,0.493,0.541,0.0075,0.0001,0.0,0.0,0.0,0.0012,0,1.9e-05,0.074,0.0,0.0,0.045,0.045,3.8e-05,0.0,0.101,0.0,2.8,0.0,19.3,30.7,0.000239,0.061,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7054,35,2116,0,0,0,0,0,0,1058,5291,2694,1670,0.0,0,203,0.0,0.0,979,Supper,0.0,0.0,1,0,9205,0.052739,4
33,"Broccoli, raw, chinese",100,30,8,1,0.0,0.7,0.265,0.0104,0.0,0.459,0.0,0.153,0.1,4.3,0.0086,0.0,0.1032,0.0,0.0957,0,0.0,0.074,0.296,0.0,0.05,0.05,0.000891,10.5,0.064,0.059,1.9,0.0,4.3,27.4,1.4e-05,0.041,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,26,88,0,0,0,0,0,0,76,116,53,347,0.0,0,83,0.0,0.0,9255,Breakfast,5.526315789473684,5.919999999999999,0,0,581,4.646014,0
34,"McDONALD'S, Hash Brown",100,271,16,23,0.0,58.0,0.0,0.0012,0.0,1.733,0.345,0.032,0.127,0.005,0.0,0.0,0.0001,0.0,0.0017,0,0.0,0.18,0.056,0.0,0.214,0.214,0.0,1.9,0.093,0.056,2.0,0.153,9.9,34.1,4e-06,0.034,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2856,28,54,24,0,30,0,0,0,1630,2327,8055,5065,0.0,0,225,0.0,0.0,5042,Supper,0.95,0.26168224299065423,0,0,2938,0.275004,2
35,"Agave, raw (Southwest)",100,68,2,0,0.0,1.4,0.0,0.0007,0.0,0.162,0.041,0.039,0.029,0.0925,0.0002,0.0,0.0022,0.0,0.0,0,0.0,0.055,0.04,0.0,0.023,0.023,5.3e-05,41.7,0.138,0.18,5.5,0.094,0.7,12.7,4e-06,0.015,52,24,106,41,8,52,19,8,0,14,25,28,9,19,13,21,14,8,9,22,1623,66,258,98,0,119,0,0,41,15,0,0,0,0.0,0,127,0.0,0.0,8183,Breakfast,7.581818181818182,1.7391304347826089,0,139,1947,0.155504,0
36,"Emu, raw, outside drum",100,103,5,1,0.078,10.0,0.0,0.0007,0.0,7.245,2.5,0.442,0.258,0.0,0.0,0.0,0.0,0.0,0.0,0,0.000692,0.676,0.0,0.0,0.017,0.017,0.0,0.3,0.199,0.45,2.9,0.025,22.5,32.0,0.000363,0.45,2308,897,1039,2008,167,2253,727,505,151,750,1274,1358,438,659,935,549,662,153,492,769,0,0,0,0,0,0,0,0,0,48,122,202,70,7.8,0,100,0.0,0.0,7487,Breakfast,0.10344827586206896,0.0,0,6063,0,0.017363,1
37,"Nuts, dried, beechnuts",100,576,50,57,0.0,3.8,0.0,0.0113,0.0,0.877,0.925,0.371,0.304,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.684,0.155,0.0,0.0,0.0,0.0,0.1,0.67,0.246,0.0,1.341,0.0,101.7,0.0,0.036,620,414,443,1071,197,800,319,172,0,245,367,367,146,262,326,310,221,69,172,346,3350,0,0,0,0,0,0,0,0,5000,5719,21892,20089,0.0,0,370,0.0,0.0,660,Supper,0.0,0.0,0,2023,3350,0.155,5
38,"Currants, dried, zante",100,283,3,0,0.0,0.8,0.106,0.001,0.0,1.615,0.045,0.142,0.16,0.1825,0.0004,0.0001,0.0043,0.0001,0.0,0,0.0,0.296,0.047,0.0,0.011,0.011,3.3e-05,8.6,0.468,0.326,4.1,0.469,12.5,89.2,7e-06,0.066,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7408,68,6728,0,0,0,0,0,0,27,28,47,180,0.0,0,236,0.0,0.0,1921,Supper,2.097560975609756,4.272727272727273,0,0,14204,0.240507,2
39,"Lentils, raw, sprouted",100,106,6,1,0.0,1.1,0.0,0.01,0.0,1.128,0.578,0.128,0.228,0.1125,0.0002,0.0,0.0,0.0,0.0,0,0.0,0.19,0.165,0.0,0.0,0.0,0.0,2.5,0.352,0.321,3.7,0.506,17.3,32.2,6e-06,0.151,896,356,611,1433,334,1258,319,257,0,326,628,712,105,442,356,495,328,0,252,399,2214,0,0,0,0,0,0,0,0,55,57,104,219,0.0,0,100,0.0,0.0,6734,Breakfast,0.6756756756756757,0.0,0,2940,2214,0.27750600000000003,1
40,"Gravy, mix, dry, onion",100,322,3,19,0.002,418.6,0.0,0.0031,0.0017,3.7,0.1,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,7e-05,0.1,0.07,0.0,0.0,0.0,0.0,28.0,0.17,0.1,3.4,0.4,20.3,26.2,6.1e-05,0.088,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6764,60,0,0,0,0,0,0,0,300,1860,900,140,0.2,0,1600,0.0,0.0,436,Supper,8.23529411764706,0.0,1,0,6824,0.07006100000000001,3
41,"Pie, fruit, fried pies",100,316,16,25,0.0,33.3,0.072,0.0018,0.0015,1.425,0.11,0.106,0.141,0.0675,0.0005,0.0,0.0005,0.0005,0.0008,0,8e-06,0.03,0.013,0.0,0.172,0.172,4.1e-05,2.2,0.047,0.122,1.0,0.224,4.3,6.5,2.4e-05,0.023,300,93,112,156,59,906,98,62,0,120,211,121,52,138,314,154,89,42,90,138,4260,26,2140,0,0,0,0,0,0,1610,2457,7449,5376,0.0,0,110,0.0,0.0,3760,Supper,2.2,0.07558139534883722,0,911,6426,0.252524,3
42,"Snacks, cakes, popcorn",100,384,31,5,0.0,28.8,0.224,0.0018,0.0,6.006,0.434,0.178,0.075,0.18,0.0004,0.0021,0.0033,0.0,0.0537,0,0.0,0.181,0.0,0.0,0.029,0.029,1.1e-05,0.9,0.569,0.187,15.9,0.985,27.7,32.7,9.9e-05,0.399,970,671,581,767,156,1890,431,280,0,372,1053,312,210,488,706,480,363,91,387,523,8010,29,72,0,0,0,0,0,0,310,480,920,1350,0.0,0,200,0.0,0.0,500,Supper,0.05660377358490566,0.0,0,3412,8111,0.20909899999999998,3
43,"Snack, Mixed Berry Bar",100,383,11,38,0.0,44.7,0.398,0.0028,0.0,0.858,1.104,0.285,0.283,0.2425,0.0027,0.0,0.0006,0.0,0.0104,0,5.1e-05,0.116,0.006,0.005,0.029,0.029,1.6e-05,10.5,0.244,0.189,9.1,1.963,34.3,44.6,0.000198,0.264,1316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5884,79,2632,0,0,0,0,0,0,1053,3846,2897,2058,0.0,0,197,0.0,0.0,1552,Supper,1.153846153846154,0.20689655172413793,0,0,8595,0.277698,3
44,"Fish, raw, sheepshead",100,108,24,6,0.05,7.1,0.0,0.0015,0.0,1.5,0.75,0.04,0.01,0.25,0.003,0.0,0.0,0.0,0.0,0,0.0002,0.3,0.0,0.0,0.0,0.0,0.0,2.1,0.031,0.046,3.2,0.013,31.3,40.4,0.000365,0.039,2021,1222,1210,2070,217,3017,970,595,0,931,1643,1856,598,789,715,825,886,226,682,1041,0,0,0,0,0,0,0,0,0,241,609,728,518,5.0,0,109,0.0,0.0,7797,Breakfast,0.65625,0.0,0,7970,0,0.250365,1
45,"Babyfood, pear, juice",100,47,0,0,0.0,0.8,0.026,0.0004,0.0,0.3,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.01,0.338,0.0,0.009,0.009,3.4e-05,1.2,0.065,0.0,0.8,0.0,1.2,13.0,4e-06,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186,1,728,0,0,0,0,0,0,0,0,0,0,0.0,0,24,0.0,0.0,8790,Breakfast,1.4999999999999998,37.555555555555564,0,0,1915,0.34700400000000003,0
46,"Brussels sprouts, raw",100,43,3,1,0.0,2.5,0.191,0.0061,0.0,0.745,0.309,0.09,0.139,1.885,0.0038,0.0006,0.045,0.0,0.159,0,0.0,0.219,0.85,0.0,0.088,0.088,0.00177,4.2,0.07,0.14,2.3,0.337,6.9,38.9,1.6e-05,0.042,338,0,203,0,22,0,0,76,0,132,152,154,32,98,0,0,120,37,0,155,895,38,220,93,0,81,0,0,46,30,62,23,153,0.0,0,137,0.0,0.0,8600,Breakfast,1.8260869565217392,9.65909090909091,0,880,1153,2.823016,0
47,"Broccoli raab, cooked",100,33,5,1,0.0,5.6,0.336,0.0071,0.0,2.015,0.448,0.14,0.169,11.3325,0.0227,0.0,0.272,0.0,0.1683,0,0.0,0.22,0.37,0.0,0.253,0.253,0.00256,11.8,0.075,0.127,2.7,0.38,8.2,34.3,1.3e-05,0.054,383,149,207,434,47,662,148,80,0,125,206,239,58,154,158,120,128,52,90,184,312,28,62,24,0,23,0,0,15,52,57,30,150,0.0,0,111,0.0,0.0,9141,Breakfast,4.37037037037037,1.4624505928853755,0,1146,402,11.955512999999998,0
